Tienda,Ticket,Material,Grupo art.,Denominacion 2 del gr.articulos,Producto,Venta,Fecha Vta,Hora Vta,Cantidad,UMB
TIENDA 1,2133653,3600318,720602,Telefonia y Accesorios - Chips - Chips,Producto 64,70.35,01/06/2024,02:43:33,1,PZ
TIENDA 1,2133653,2800184,560406,Recargas - Datos - Telcel Paquete,Producto 65,87.93,01/06/2024,02:43:33,1,SER
TIENDA 1,2133654,1400053,280602,Bebidas - Isotonicos - Isotonicos,Producto 66,21.93,01/06/2024,02:44:48,1,PZ
TIENDA 1,2133654,4300951,8616,Comida Rapida - Roller,Producto 11,30.77,01/06/2024,02:44:48,1,PZ
TIENDA 1,2133654,1102110,220604,Abarrotes - No Comestible - Desechables,Producto 67,14.07,01/06/2024,02:44:48,4,PZ
TIENDA 1,2133655,1100414,220208,"Abarrotes - Comestibles - Caf�, Leches y Sustitutos",Producto 68,31.62,01/06/2024,02:45:36,1,PZ
TIENDA 1,2133655,2500146,5002,Pan y Galletas - Pan,Producto 69,30.22,01/06/2024,02:45:36,1,PZ
TIENDA 1,2133655,2502034,5006,Pan y Galletas - Galletas,Producto 70,36.83,01/06/2024,02:45:36,1,PZ
TIENDA 1,2133656,2500146,5002,Pan y Galletas - Pan,Producto 69,30.22,01/06/2024,02:46:53,1,PZ
TIENDA 1,2133656,2500593,5006,Pan y Galletas - Galletas,Producto 71,25.5,01/06/2024,02:46:53,1,PZ
TIENDA 1,2133656,3000168,600402,Refrescos - Pepsi - Colas,Producto 72,14.95,01/06/2024,02:46:53,1,PZ
TIENDA 1,2133656,1300005,260206,Agua - Natural - Ciel,Producto 73,31.62,01/06/2024,02:46:53,2,PZ
TIENDA 1,2133657,3500138,7004,Tabaco - Tabacos Pm,Producto 52,73.86,01/06/2024,02:55:31,1,PZ
TIENDA 1,2133658,1800384,3606,Farmacia - Higiene Personal,Producto 74,49.25,01/06/2024,02:56:00,1,PZ
TIENDA 1,2133658,4300951,8616,Comida Rapida - Roller,Producto 11,30.77,01/06/2024,02:56:00,1,PZ
TIENDA 1,2133658,4300950,8616,Comida Rapida - Roller,Producto 32,30.77,01/06/2024,02:56:00,1,PZ
TIENDA 1,2133658,3000168,600402,Refrescos - Pepsi - Colas,Producto 72,14.95,01/06/2024,02:56:00,1,PZ
TIENDA 1,2133659,3500121,7004,Tabaco - Tabacos Pm,Producto 75,73.86,01/06/2024,02:57:11,1,PZ
TIENDA 1,2133659,3500121,7004,Tabaco - Tabacos Pm,Producto 75,73.86,01/06/2024,02:57:11,1,PZ
TIENDA 1,2133660,2500707,5002,Pan y Galletas - Pan,Producto 76,34.95,01/06/2024,03:04:26,1,PZ
TIENDA 1,2133660,3000059,600202,Refrescos - Coca Cola - Colas,Producto 10,14.5,01/06/2024,03:04:26,1,PZ
TIENDA 1,2133660,3000059,600202,Refrescos - Coca Cola - Colas,Producto 10,14.5,01/06/2024,03:04:26,1,PZ
TIENDA 1,2133660,4300951,8616,Comida Rapida - Roller,Producto 11,115.19,01/06/2024,03:04:26,4,PZ
TIENDA 1,2133660,2500851,5004,Pan y Galletas - Pastelitos,Producto 77,34,01/06/2024,03:04:26,1,PZ
TIENDA 1,2133661,3000262,600404,Refrescos - Pepsi - Sabores,Producto 78,14.95,01/06/2024,03:11:30,1,PZ
TIENDA 1,2133661,1800734,3602,Farmacia - Medicamentos,Producto 79,159.12,01/06/2024,03:11:30,1,PZ
TIENDA 1,2133662,2500324,5004,Pan y Galletas - Pastelitos,Producto 80,24.55,01/06/2024,03:19:05,1,PZ
TIENDA 1,2133662,1400300,280402,Bebidas - Energizantes - Energizantes,Producto 18,19.79,01/06/2024,03:19:05,1,PZ
TIENDA 1,2133663,3500124,7004,Tabaco - Tabacos Pm,Producto 81,73.86,01/06/2024,03:25:53,1,PZ
TIENDA 1,2133663,3000037,600202,Refrescos - Coca Cola - Colas,Producto 39,21.54,01/06/2024,03:25:53,1,PZ
TIENDA 1,2133663,1400082,280402,Bebidas - Energizantes - Energizantes,Producto 82,68.58,01/06/2024,03:25:53,1,PZ
TIENDA 1,2133664,4101299,8202,Bebidas Calientes - Americano,Producto 33,23.75,01/06/2024,03:34:45,1,PZ
TIENDA 1,2133665,4301691,8646,COMIDA RAPIDA - EUROPASTRY,Producto 83,23.46,01/06/2024,03:35:59,1,PZ
TIENDA 1,2133665,4301691,8646,COMIDA RAPIDA - EUROPASTRY,Producto 83,23.46,01/06/2024,03:35:59,1,PZ
TIENDA 1,2133665,2200139,440208,Lacteos y Embutidos - Lacteos - Leche Saborizada,Producto 84,16.32,01/06/2024,03:35:59,1,PZ
TIENDA 1,2133665,3000037,600202,Refrescos - Coca Cola - Colas,Producto 39,21.54,01/06/2024,03:35:59,1,PZ
TIENDA 1,2133665,3000037,600202,Refrescos - Coca Cola - Colas,Producto 39,21.54,01/06/2024,03:35:59,1,PZ
TIENDA 1,2133665,1300311,260206,Agua - Natural - Ciel,Producto 7,19.38,01/06/2024,03:35:59,1,PZ
TIENDA 1,2133666,3500673,7002,Tabaco - Tabacos Bat,Producto 85,53.64,01/06/2024,04:12:37,1,PZ
TIENDA 1,2133666,3000059,600202,Refrescos - Coca Cola - Colas,Producto 10,21.1,01/06/2024,04:12:37,1,PZ
TIENDA 1,2133666,1300093,260204,Agua - Natural - E Pura,Producto 86,18.36,01/06/2024,04:12:37,1,PZ
TIENDA 1,2133666,1703372,3404,Dulces - Goma De Mascar,Producto 87,13.19,01/06/2024,04:12:37,1,PZ
TIENDA 1,2133667,2800182,560406,Recargas - Datos - Telcel Paquete,Producto 88,43.96,01/06/2024,04:53:34,1,SER
TIENDA 1,2133668,4303026,8646,COMIDA RAPIDA - EUROPASTRY,Producto 89,25.5,01/06/2024,05:09:01,1,PZ
TIENDA 1,2133668,1102110,220604,Abarrotes - No Comestible - Desechables,Producto 67,3.52,01/06/2024,05:09:01,1,PZ
TIENDA 1,2133669,2100311,4202,Jugos - Nectar,Producto 90,30.6,01/06/2024,05:27:26,1,PZ
TIENDA 1,2133669,2500362,5006,Pan y Galletas - Galletas,Producto 91,17.47,01/06/2024,05:27:26,1,PZ
TIENDA 1,2133669,2500216,5006,Pan y Galletas - Galletas,Producto 92,24.55,01/06/2024,05:27:26,1,PZ
TIENDA 1,2133669,3000168,600402,Refrescos - Pepsi - Colas,Producto 72,26.38,01/06/2024,05:27:26,2,PZ
TIENDA 1,2133670,1400360,280402,Bebidas - Energizantes - Energizantes,Producto 93,17.15,01/06/2024,05:28:41,1,PZ
TIENDA 1,2133670,2501021,5006,Pan y Galletas - Galletas,Producto 94,32.11,01/06/2024,05:28:41,1,PZ
TIENDA 1,2133670,2500409,5004,Pan y Galletas - Pastelitos,Producto 95,23.61,01/06/2024,05:28:41,1,PZ
TIENDA 1,2133671,2000000,4002,Hielo - Hielo,Producto 3,31.62,01/06/2024,05:29:51,1,PZ
TIENDA 1,2133672,2800152,560402,Recargas - Datos - Telcel,Producto 96,43.96,01/06/2024,05:33:19,1,SER
TIENDA 1,2133672,1400033,280602,Bebidas - Isotonicos - Isotonicos,Producto 97,23.75,01/06/2024,05:33:19,1,PZ
TIENDA 1,2133672,1700406,3406,Dulces - Pastillas Refrescantes,Producto 62,11.33,01/06/2024,05:33:19,1,PZ
TIENDA 1,2133672,1702763,3404,Dulces - Goma De Mascar,Producto 98,13.19,01/06/2024,05:33:19,1,PZ
TIENDA 1,2133673,2000000,4002,Hielo - Hielo,Producto 3,31.62,01/06/2024,05:35:09,1,PZ
TIENDA 1,2133674,4101299,8202,Bebidas Calientes - Americano,Producto 33,23.75,01/06/2024,06:05:28,1,PZ
